Id,Title,Address,Sections,lat,lon
0,Алмаз,"ул. Воскова, д.16, лит. А, пом. 3Н, Санкт-Петербург","16,25",30.306472,59.958061
1,Антей,"ул. Ленина, д. 10, Санкт-Петербург","2,6,7,9,10,23",30.308556,59.960336
2,Альфа,"ул. Воскова,  д.8/5, Санкт-Петербург",6,30.304963,59.957836
9,Метеор 2,"ул. Резная, д.19/8, Санкт-Петербург","1,7",30.315644,59.95924599999999
11,Велоклуб,"Большая Пушкарская, д. 32, литера А, Санкт-Петербург","4,40",30.303732,59.954232
13,"Молодежный центр ""Среда""","ул. Б. Пушкарская, д. 32а, Санкт-Петербург",2,30.294003000000004,59.957678
16,Синтез,"ул. Гатчинская, д. 23/25, Санкт-Петербург",24,30.302627,59.973667000000006
18,Старт,"ул. Подковырова, д. 20, Санкт-Петербург","0,6",30.307783,59.965696
20,Футбольно-хоккейный  комплекс «Беспокойные сердца»,"ул. Ординарная, д. 5, Санкт-Петербург",17,30.300767,59.962836
21,Чайка,"ул. Газовая, д. 7, Санкт-Петербург",5,30.302869,59.960872
22,Энергия,"Малый пр. П.С., д. 64/13, Санкт-Петербург","1,14",30.295836,59.95247
0,Бриг,"Новый Петергоф, ул. Разводная, д. 29, лит. А, Санкт-Петербург","16,25",29.899445,59.874485
1,Вымпел,"Старый Петергоф, ул. Петергофская,  д. 13, лит. А, Санкт-Петербург","2,6,7,9,10,23",29.863405,59.875962
2,Галс,"Пос. Стрельна, Санкт-Петербургское шоссе, д. 69, Санкт-Петербург",6,30.032962,59.853993
9,Юнта,"Ломоносов,  ул. Победы, д.20/2, Санкт-Петербург","1,7",29.771696,59.902758
0,Клуб юных моряков «Адмиралтеец»,"Псковская ул., д. 14, Санкт-Петербург","16,25",30.281921,59.919973
1,Вдохновение,"наб. реки Мойки, д. 112 лит. А,, Санкт-Петербург","2,6,7,9,10,23",30.28661,59.928487
2,Глобус,"пер. Макаренко, д. 9, Санкт-Петербург",6,30.298001,59.91881
9,Надежда,"ул. Гороховая, дом 57, Санкт-Петербург","1,7",30.325786,59.925791
11,Палестра,"пер. Бойцова, д. 8 лит. А,, Санкт-Петербург","4,40",30.310963,59.920772
13,Петербургские львы,"наб. реки Фонтанки, 
д. 150 лит. А,, Санкт-Петербург",2,30.285873,59.915652
16,Селена,"ул. 4-я Красноармейская, дом 11 лит. А,, Санкт-Петербург",24,30.313029,59.91400600000001
18,Созвучие,"ул. 12-я Красноармейская, дом 5, Санкт-Петербург","0,6",30.305313,59.911723
19,Форвард,"Большая Подьяческая ул., д. 13, лит. А; Вознесенский пр., д. 34, Санкт-Петербург","2,28",30.308421000000006,59.925083
20,Эллада,"ул. Псковская, д. 14лит. А,, Санкт-Петербург",17,30.281921,59.919973
22,Ровесник,"наб. реки Фонтанки, д. 92, Санкт-Петербург","1,14",30.32451,59.914498
0,Буревестник,"ул. Долгоозерная,  д. 16, Санкт-Петербург","16,25",30.250749,60.018727
1,Восход,"пр. Испытателей,  д. 31, Санкт-Петербург","2,6,7,9,10,23",30.270512,60.007492000000006
2,Галактика,"Ланское шоссе,  д. 24, корп. 5, Санкт-Петербург",6,30.319875,59.998297
9,Чайка,"ул. Вербная, д.12, кор.1, Санкт-Петербург","1,7",30.315464,59.991876
11,Флай,"ул. Авиаконструкторов, д. 16, Санкт-Петербург","4,40",30.238577000000006,60.03100000000001
0,Антей,"Пушкин, Красносельское шоссе, д. 67, Санкт-Петербург","16,25",30.357271,59.70422900000001
1,Витус,"Пушкин, Кадетский бульвар, д. 18, Санкт-Петербург","2,6,7,9,10,23",30.405897,59.706571
2,Вымпел,"Пушкин, ул. Средняя, д. 34, Санкт-Петербург",6,30.407766,59.716088
9,Радуга,"Павловск, ул. Толмачева д.8, Санкт-Петербург","1,7",30.431140000000006,59.685044
11,Товарищ,"Пушкин, Красносельское шоссе, д. 67, Санкт-Петербург","4,40",30.357271,59.70422900000001
13,Шушары,"пос. Шушары, ул. Валдайская, д. 9, Санкт-Петербург",2,30.377987,59.80416
16,Олимп,"пос. Шушары, ул. Первомайская, д. 8, Санкт-Петербург",24,30.377007,59.808962
18,Филиал п. Лесное,"п. Лесное, Санкт-Петербург","0,6",29.890875,59.7923
0,"""Аврора""","ул. Варшавская, д. 47, корп. 2, Санкт-Петербург","16,25",30.311745,59.855886
1,"""Атлант""","ул. Фрунзе, д. 4, Санкт-Петербург","2,6,7,9,10,23",30.316569,59.861928000000006
2,"""Взлет""","ул. Орджоникидзе, д. 61, Санкт-Петербург",6,30.362598,59.84220500000001
0,Атлант,"ул. Кржижановского, д. 5, Санкт-Петербург","16,25",30.470567,59.93213000000001
1,Горизонт,"ул. Дыбенко, д. 25 к. 1, Санкт-Петербург","2,6,7,9,10,23",30.476792,59.90420699999999
2,Дружба,"Октябрьская наб., д. 84, к. 5, Санкт-Петербург",6,30.469426,59.872796
9,Ленинградец,"ул. Ольминского,  д. 26, Санкт-Петербург","1,7",30.415734000000004,59.89552
11,Луч,"ул. Антонова-Овсеенко, д.11, к.1, Санкт-Петербург","4,40",30.467225,59.907392
13,Молодежный центр,"ул. Бабушкина, д. 42, к. 4/а, Санкт-Петербург",2,30.419911,59.89899499999999
16,Огонек,"ул. Коллонтай, д. 21, к. 1, Санкт-Петербург",24,30.468636,59.918674
18,Оптимист,"ул. Народная, д. 28, Санкт-Петербург","0,6",30.466147,59.882532
19,Параллель,"Бульвар Красных Зорь, д. 5, Санкт-Петербург","2,28",30.442998,59.87249300000001
20,Патриот,"ул. Еремеева, д.1, Санкт-Петербург",17,30.429999,59.917538
21,Перспектива,"пр. Обуховской обороны, д. 243, Санкт-Петербург",5,30.473999,59.862348
22,Полярник,"ул. Полярников, д.19, Санкт-Петербург","1,14",30.436117,59.876779000000006
23,Прожектор,"пр. Солидарности, д. 11, к. 1, Санкт-Петербург","4,5,7,9",30.491857,59.920708
26,Товарищ,"пр. Большевиков, д. 6, к. 2, Санкт-Петербург",4,30.476478000000004,59.916676
28,Чайка,"3-й Рабфаковский пер., д. 4, Санкт-Петербург","5,27,28",30.46648,59.852954
29,Юбилейный,"Дальневосточный пр., д. 8, к. 1, Санкт-Петербург","7,8,14,17,18,28,40",30.433305,59.91621600000001
30,Юность,"ул. Кибальчича, д. 8, корп. 2, Санкт-Петербург","2,7,14",30.438587,59.866237
0,Гармония,"ул. Купчинская, д. 23, Санкт-Петербург","16,25",30.39138,59.833407
1,"ПМК ""ВПК ""им.3-й Фрунзенской дивизии народного ополчения""","ул. Олеко Дундича, д. 34, Санкт-Петербург","2,6,7,9,10,23",30.420684,59.833986
2,"ПМК ""ВПК ""им. дважды Героя Советского Союза летчика-истребителя А.Ф. Клубова""","ул. Боровая, д. 48, Санкт-Петербург",6,30.344336,59.914858
9,Романтика,"ул. Бухарестская, д. 74, Санкт-Петербург","1,7",30.381688,59.870867
11,Старт,"ул. Софийская, д. 47, корп. 1, Санкт-Петербург","4,40",30.406005,59.87105699999999
13,"ПМК ""МИР""   (""Молодежный медиа-холдинг ""Четверка"")","ул. Бухарестская,  д. 114, Санкт-Петербург",2,30.405331,59.849189
0,"ПМК ""Ровесник""","Кронштадт, Якорная площадь, 
д. 3В, лит. А, Санкт-Петербург","16,25",29.780023,59.991313
1,"ПМК ""Маяк""","Кронштадт, ул. Мануильского, д. 45, корп. 3, Санкт-Петербург","2,6,7,9,10,23",29.78782,59.985687
0,Балтика,"п. Понтонный
ул. Южная, 
дом 13, Санкт-Петербург","16,25",30.647364000000003,59.77905
1,Горизонт,"Колпино,
пр. Ленина, 
дом 49, Санкт-Петербург","2,6,7,9,10,23",30.571035,59.75151500000001
2,Орленок,"п. Металлострой, ул. Школьная, д. 12, Санкт-Петербург",6,30.569579,59.80965
0,Алые паруса,"пр. Науки,      д. 44, Санкт-Петербург","16,25",30.42637,60.006287
