event_id,name,description,time_id,section_id,people_id,location_id
1,Просто: создание молодежного пространства,"Просто: создание молодежного пространства 28 октября в молодежном образовательно-досуговом пространстве «Просто» (пр. Медиков, д.5) пройдет мастер-класс по теме «Организация развивающего креативного молодежного пространства». Дом молодежи Санкт-Петербурга организует для руководителей и специалистов районных учреждений по делам молодежи города. Спикером семинара станет руководитель креативного молодежного пространства «Просто» Виктория Моторенко. В своем выступлении Виктория расскажет план создания молодежного пространства. Будут затронуты такие вопросы, как организация встреч и анализ предпочтений аудитории. Виктория поделится опытом создания такого пространства, а участники смогут посетить экскурсию по площадке «Просто» и увидеть, как можно реализовать подобный проект. Мастер-классы для руководителей и специалистов районных учреждений по делам молодежи Санкт-Петербурга продлятся до конца ноября. Для участия необходимо зарегистрироваться на сайте Просто. ",1,1,"205,81,173,141,71,110,158,61,136,210,221,107,85,147,166,130,134,62,50,107,89,156",10
2,Помоги кому-то сделать первый шаг,"Помоги кому-то сделать первый шаг До 15 ноября вы можете подать заявку на конкурс социальной рекламы фонда «Первые шаги». Работы должны быть посвящены теме «Любой ребенок, независимо от расы, особенностей развития, истории жизни должен жить в семейном окружении». Конкурс проводят по двум номинациям: социальный плакат и социальный видеоролик. Своими работами участники должны привлечь внимание к проблеме семейного устройства разных детей, попавших в трудную жизненную ситуацию. 21 ноября подведут результаты конкурса. Победителям в обеих номинациях оплатят участие в Московском Международном фестивале рекламы и маркетинга Red Apple (12-13 декабря 2019 года. Также победителя привлекут к реализации общегородской рекламной кампаний Фонда с заключением контракта на 1 год. Подробная информация на сайте. Организаторы – Благотворительный фонд помощи детям младшего возраста, оставшимся без попечения родителей «ПЕРВЫЕ ШАГИ» и Санкт-Петербургское государственное бюджетное учреждение «Центр социальной реабилитации инвалидов и детей-инвалидов Приморского района». ",2,41,"221,209,60,118,145,72,51,200,111,76,181,63,133,171,133,216,120,85,161,82",2
7,Финалистки конкурса красоты посетят центр реабилитации диких животных,"Финалистки конкурса красоты посетят центр реабилитации диких животных 9 ноября в 14:00 финалистки конкурса красоты «Краса и честь Санкт-Петербурга» посетят Российский карантинный центр диких животных «Велес» (п.Рапполово, ул. Овражная, напротив д.11А). Выезд пройдет в формате благотворительной акции. Участницами выезда станут студентки военных и специализированных ведомственных вузов Северной столицы. Чтобы пройти в финал конкурса, девушки сняли видеоролик о «добром деле» и ответили на вопрос «Почему красота спасет мир?» Многие девушки подчеркнули, что внутренняя красота важна не меньше, чем внешняя. Поэтому участницы помогают тем, кто в помощи нуждается, и делают мир добрее. В «Велесе» конкурсантки помогут в уборке территории, развозке корма, а также примут участие в фотосессии с животными. У каждого животного приюта своя история. Кто-то пострадал по вине человека, а кто-то получил травмы в естественной среде обитания и нуждается в помощи. Многие из животных не могут впоследствии быть выпущены на природу, и их устраивают в приюты и фонды. Центр существует за счет пожертвований и волонтерской помощи. Финал конкурса пройдет 15 ноября в Доме молодежи Санкт-Петербурга (Новоизмайловский пр., 48). Во время заключительного концерта состоится дефиле участниц. Также каждая студентка представит свой творческий номер. Организатор конкурса – Дом молодежи Санкт-Петербурга при поддержке Комитета по молодежной политике и взаимодействию с общественными организациями. КОНТАКТЫ ДЛЯ СМИ: Каганова Елена Андреевна, и.о.начальника информационно-аналитического отдела Дома молодежи Санкт-Петербурга, тел.: +7921-786-78-99, E-mail: yolka2105@gmail.com. ",7,41,"102,182,108,167,147,143,103,202,68,77,191,181,181,206,126,57,174,184,121,158,148,115,175,70,57,217,74",20
9,Запусти свой проект в Арктике!,"Запусти свой проект в Арктике! Государственный научный центр Российской Федерации «Арктический и антарктический научно-исследовательский институт» объявил о начале всероссийского конкурса научных и творческих проектов «66◦33’». Заявку можно подать до 9 ноября. К участию приглашают граждан Российской федерации, которые учатся в высших учебных заведениях Санкт-Петербурга, в возрасте до 35 лет. Победители конкурса отправятся в составе Российской научной арктической экспедиции на архипелаг Шпицберген, где смогут реализовать свои проекты. Конкурс проходит по нескольким направлениям: естественные и точные науки, гуманитарные дисциплины, культура и искусство, технические науки. Все они должны быть связаны с исследованием Арктического региона. Организатор мероприятия - Государственный научный центр Российской Федерации «Арктический и антарктический научно-исследовательский институт». Подробная информация на сайте: http://go6633.ru/ ",9,"1,24","200,70,130,196,68,52,149,127,84,139,203,83,70,195,203,97,114,184,124,207,186,59,164,187,211",53
10,Как пройти путь от волонтера до организатора городских событий?,"Как пройти путь от волонтера до организатора городских событий? 30 октября в Центре городских волонтеров Санкт-Петербурга (13-я линия В.О., д.22В) прошел тренинг на тему «Организация и проведение события: вызов современности». Его провела Екатерина Шилова, программный директор бизнес-кластера «ДЕЛО». Екатерина Шилова – опытный организатор городских событий – поделилась навыками event-менеджмента с молодыми активистами. Она осветила такие вопросы, как подготовительный этап мероприятия и формирование команды, важность репутации человека и компании. Волонтеры обсудили, с какими проблемами придется столкнуться и какие задачи им уже приходилось решать. Слушатели и спикер поделились своими историями. Например, Екатерина рассказала, как ее репутация и удачный случай помогли ей оказаться на президентском приеме. Также на тренинге затронули тему рефлексии над прошедшими проектами. Спикер пояснила, что нельзя делать событие «для галочки», что результат – это всегда опыт, ошибки и новые идеи. Организаторы – Дом молодежи Санкт-Петербурга и Центр городских волонтеров Санкт-Петербурга при поддержке Комитета по молодежной политике и взаимодействию с общественными организациями. ",10,41,"82,111,217,71,104,71,97,157,171,69,156,66,215,212,141,121,201,116,139,122,187,214,222,222,59,59,117,85",97
12,В пространстве «Просто» рассказали о создании площадок для молодежи,"В пространстве «Просто» рассказали о создании площадок для молодежи 28 октября в молодежном образовательно-досуговом пространстве «Просто» прошел мастер-класс по теме «Организация развивающего креативного молодежного пространства». Встречу посетили руководители и специалисты районных учреждений по делам молодежи Санкт-Петербурга. Семинар провела руководитель креативного молодежного пространства «Просто» Виктория Моторенко. В своем выступлении Виктория рассказала о методах привлечения молодежи на мероприятия, о мотивации, информационном продвижении молодежных событий и, как организовывать встречи, чтобы они были интересны молодому поколению. Также спикер провела экскурсию по молодежной площадке «Просто» и ответила на вопросы слушателей. «Пространство «Просто» – это коворкинг, который дополнен проектной деятельностью, ежедневными мероприятиями, образовательными сессиями и мотивационными встречами. В среднем, ежемесячно здесь работает более ста человек. Ребята приходят сюда работать, учиться, отдыхать, реализовывать свои проекты и собирать команду – все зависит от их идей и потребностей. Районные подростково-молодежные клубы могут перенять наш опыт работы с молодежью, мы всегда готовы делиться навыками, знаниями. В частности, наших коллег интересует информационная поддержка наших мероприятий и мы рассказываем им о тех инструментах и методах, которые используем. Мы хотим передать успешные практики и надеемся, что они будут их применять в своей деятельности», – поделилась Виктория Моторенко. Мастер-классы для руководителей и специалистов районных учреждений по делам молодежи Санкт-Петербурга продлятся до конца ноября. Для участия необходимо зарегистрироваться на сайте Просто. ",12,1,"170,49,199,134,82,162,88,188,139,147,77,213,174,94,159,52,67,132,196",60
14,В ноябре пройдет Спартакиада подростково-молодежных клубов Санкт-Петербурга,"В ноябре пройдет Спартакиада подростково-молодежных клубов Санкт-Петербурга 2 ноября в 13:00 в спортивно-развлекательном комплексе «Энергия высоты» (ул. Софийская, д.14) состоится торжественное открытие Спартакиады подростково-молодежных клубов Санкт-Петербурга.Участниками станут воспитанники районных молодежных объединений 2001 – 2004 годов рождения. Молодые спортсмены объединятся в команды по 15 человек и будут защищать честь своего района. В течение нескольких дней им предстоит соревноваться в скалолазании, боулинге, дартсе, лазертаге, меткости в городошном спорте, выносливости и силе на веревочной трассе. Также участники узнают, кто ловчее и сильнее в эстафете ГТО, где предусмотрены следующие испытания: метание учебной ручной гранаты Ф-1, прыжки в длину с места толчком двумя ногами, сгибание и разгибание рук в упоре лежа на полу, бег на 30 метров и поднимание туловища из положения лежа на спине. Победители и призеры Спартакиады получат кубки, дипломы и медали за участие. Первое место займет команда,набравшая в сумме наибольшее количество баллов. Награждение победителей состоится на торжественной церемонии закрытия Спартакиады. Кирилл Солоницын, специалист по работе с молодежью ПМЦ «Невский», чья команда стала победителем Спартакиады в 2018 году, рассказал о том, как они добились победы: «Секрет нашего успеха в том, что все члены команды с большим энтузиазмом принимали участие в Спартакиаде и очень хотели победить. Конечно, подготовить команду было нелегко, но мы справились. Сейчас я испытываю непередаваемую гордость за ребят и проделанную работу». Для всех желающих поболеть за свою команду вход свободный. Подробная информация о ходе проведения Спартакиады в группе мероприятия ВКонтакте. Организаторы – Дом молодежи Санкт-Петербурга при поддержке Комитета по молодежной политике и взаимодействию с общественными организациями. Контакты для участников и болельщиков: Вячеслав Михайлович Соколов, руководитель направления ООО «ФИЛИП КИНДРЕД», e-mail: sport-pmc@yandex.ru, моб. тел.: +7 904 60681 72. Андрей Валерьевич Силин, начальник отдела духовно-нравственного воспитания ГБУ «ДМСПб», e-mail: patriot@spbdm.ru,тел.: +7 909 583 55 24. Контакты для СМИ: Елена Андреевна Каганова, и. о. начальника информационно-аналитического отдела ГБУ «ДМСПб», e-mail: yolka2105@gmail.com, тел.: +7 921 78678 99. ",14,38,"211,187,207,216,148,202,222,71,189,122,66,99,138,148,201,192,87,155,156,144,162,173,178,118,178",29
17,Молодых танцоров Петербурга приглашают принять участие в конкурсе «The Dance»,"Молодых танцоров Петербурга приглашают принять участие в конкурсе «The Dance» До 10 ноября идет прием заявок на участие в танцевальном конкурсе «The Dance». Продемонстрировать свои хореографические навыки могут молодые петербуржцы в возрасте от 14 до 30 лет. Конкурс состоит из трех туров: «Соло», «Связка от хореографа» и «Импровизация». В каждом из этапов будут выбраны лучшие танцоры, которые пройдут в следующий тур. Жюри будет оценивать уровень технического мастерства, технику исполнения, скорость запоминания и воспроизведения предложенного материала, эмоциональность и умение импровизировать. Победители получат кубки и ценные призы. Все конкурсные этапы пройдут 16 ноября с 16:00 в подростково-молодежном клубе «Прометей» (пр. Маршала Жукова, д. 60, к. 1). Подать заявку на участие можно по ссылке. Дополнительная информация о конкурсе в группе ВКонтакте. Организатор – Подростково-молодежный центр «Кировский». ",17,29,"200,186,180,196,56,117,168,125,63,212",7
18,В Центре городских волонтеров стартовал цикл тренингов для добровольцев,"В Центре городских волонтеров стартовал цикл тренингов для добровольцев 18 октября в Центре городских волонтеров прошел первый тренинг, посвященный основам добровольчества. В октябре и ноябре в Доме Молодежи Санкт-Петербурга пройдет серия тренингов по повышению квалификации добровольческого сообщества города. Семинар провел руководитель отдела по внешним связям Центра городских волонтеров Санкт-Петербурга Виталий Кириченко. В своем выступлении Виталий рассказал об истории возникновения волонтерской деятельности в мире и России, а также о видах и структуре добровольчества. «Мы запускаем цикл из десяти лекций, которые будут иметь развивающий характер для наших волонтеров и активистов. Основная цель таких семинаров – дать ребятам теоретические знания и коммуникативные навыки, чтобы они могли их применять на практике. Мы занимаемся в основном событийным добровольчеством, соответственно, многие наши волонтеры умеют проводить мероприятия, но не у всех есть теоретические знания о волонтерской деятельности, и мы это хотим исправить. Вторая цель – это дать необходимые навыки, для того чтобы волонтеры развивались и совершенствовались. Мы тщательно готовили программу и искали таких спикеров, которые были бы интересны и полезны нашим слушателям. В целом, интерес к добровольчеству возрастает – все больше молодых людей хочет принять участие в волонтерской деятельности, создать новые организации, волонтерские ячейки в университетах», – рассказал руководитель отдела по внешним связям Центра городских волонтеров Санкт-Петербурга Виталий Кириченко. Мероприятие посетило более сорока активистов, среди которых были также серебряные волонтеры. Участники получили сертификаты и подарки за лучшие вопросы. Доброволец общественной организации «Российский Красный Крест» Михаил Ершов поделился своими впечатлениями от семинара и рассказал о своем опыте волонтерской деятельности: «Я в волонтерстве уже несколько лет, периодически принимаю участие в подобных семинарах. Мой первый серьезный опыт такой деятельности – это участие добровольцем на Чемпионате мира по футболу в прошлом году. Также я периодически участвую в качестве волонтера на концертах и других мероприятиях. Совмещать работу и волонтерскую деятельность сложно, но я стараюсь. Для меня добровольчество – это занятие для души, я понял, что, помогая другим, я помогаю себе. Это способ получить новые эмоции, друзей, проявить свои навыки. Я считаю, что самое важное для волонтера – это быть добрым, все остальное – коммуникабельность, знания, опыт придут со временем». Зарегистрироваться на следующие тренинги можно в группе ВКонтакте. Организатор – Центр городских волонтеров Санкт-Петербурга. ",18,"11,41","91,191,216,97,184,56,68,52,87,97,132,127,217,129",5
19,Интервью с лидером волонтерского движения СПбГИК,"Интервью с лидером волонтерского движения СПбГИК Действительно ли изящный тайм-менеджмент основывается на вдохновении и любви к своему делу? Как с помощью блога наладить отношения в команде? Почему хейтеры помогают развиваться? Мы пообщались с Соней Никитченко и узнали ответы на все эти вопросы. Делимся с вами порцией очарования и мотивации! Соня – руководитель волонтеров Санкт-Петербургского государственного института культуры, студент филологического факультета СПбГУ, блогер (это мы ее так называем, она же себя блогером не считает) и просто очаровательная девушка! Я восхищаюсь тем, что ты умудряешься делать все и все успевать. Это не так! Ты спишь вообще? С переменным успехом, но сплю (смеется). Понятно, что, если я захочу выходные, я сама себе их устрою. Но так получается, что на одних выходных меня позвали что-то курировать, на других выходных у меня встречи запланированы, научная деятельность, нужно что-то провести. И так получается, что выходные бывают, только когда я уезжаю в Калининград. И то, если там ничего такого интересненького не намечается. А у тебя есть чувство, что ты всегда на работе, но работа тебя настолько захватывает, что ты будто и не работаешь вообще? У меня есть такое чувство, когда я занимаюсь делами, которые мне нравятся. Понятное дело, что работа разделяется на то, что мне нравится, и то, мне надо делать. Например, некоторые отчеты, которые я считаю бессмысленными, их надо выполнить. И тогда я ощущаю, что я на работе. Ну на рабооооте. Работа же воспринимается с таким устальческим характером. Такого слова нет, но ты поняла! А вот когда моя работа касается организации волонтерства... С организацией футбольного клуба. Что-нибудь такое прям студенческое, молодежное, то, что мне в принципе интересно, - тогда я работать могу даже не на работе. Когда я прихожу домой в десять часов вечера и думаю: «Так! У меня появилась идея! Надо написать ребятам, которые это все могут реализовать!». Поэтому да, чувство, что я на работе, но не на работе бывает. Помимо работы – хобби, какие увлечения? У меня много хобби. Во-первых, путешествия. Я считаю, что у меня должна быть хотя бы неделя, которую я могу посвятить самой себе. И я просто уезжаю куда-нибудь на эту неделю. Находясь в другой стране, в другой культуре ты понимаешь, что у тебя тоже спешка – посетить больше мест, больше узнать этот город – но я понимаю, что сейчас меня никто не дернет. Никто не позвонит и не скажет: «Соня, срочно, надо сделать это!» - потому что я отключаю телефоны и просто наслаждаюсь жизнью. Что еще? Я вышиваю крестиком! Но у меня на это сейчас категорически не хватает времени. Но это меня очень расслабляет. Когда прихожу домой очень загруженная и даже если очень поздно, я сижу и успокаиваюсь. Еще посткроссинг. Я вот уже полтора года отправляю открытки. И мне отправляют открытки. И это очень классно, у меня даже появился друг по переписке! Мне кажется это интересным. Понятное дело, что путешествовать – это классно. Но не всегда есть возможность. А так я, сидя дома за компьютером или завтракая утром, подписываю открытку и понимаю, что мне так же прилетит открытка. И открытка может быть откуда угодно. И я в любом случае узнаю об этом городе, почитаю в интернете. И – оп! – у меня новая идея для путешествия! Я правильно понимаю, что твое увлечение путешествиями связано с фотографией. И как результат – твой блог в Инстаграме? Сейчас расскажу схему, как у меня фотографии появляются. В поездках всегда получается, что фотоаппарат оказывается у меня, даже если это не мой фотоаппарат. И я сначала фотографирую всех, а потом такая типа: «Меня тоже надо сфотографировать!». Но так как я научена горьким опытом: то, что вижу я и другой человек на фотографии, не всегда совпадает. Или, наверное, я очень придирчивая, и со мной трудно путешествовать. Я периодически говорю, что не так на фото. Ставлю фотоаппарат и говорю – держи! И пока человек держит в том же ракурсе, я бегу, встаю и говорю – фотографируй! Если в Питере, то меня фотографирует Лида, моя подружка. У нас с ней более-менее совпадают взгляды и идеи. А в путешествии это может быть любой человек, с которым мы вместе ездим. С кем ты обычно путешествуешь? Я глобально путешествовала всего два раза. Вообще, мне родители привили любовь к путешествиям. А так оба раза совпадал только Леша Силантьев. Он тревел-блогер. И он меня всегда берет с собой. Ему нравится контент, которые я создаю – фотографии. А люди другие меняются. Просто путешествие может как сплотить дружбу, так и разделить ее.Поэтому я считаю, что я еще не на таком этапе дружбы с людьми, чтобы с ними путешествовать. У меня складывается впечатление, когда я смотрю твой Инстаграм, что ты путешествуешь постоянно! Нет, это не так! (смеется) У меня даже есть интересные фотографии из Питера. Просто город, в котором ты живешь, он приедается. У тебя замыливается взгляд. Ты не видишь красоту в том же Доме советов, ботанических садах или парках. Когда приезжаешь в другое место, у тебя сразу возникает ощущение чего-то новенького. Как вышло, что у тебя весь контент – про путешествия. Это специально или само собой получилось? В прошлом году, когда я путешествовала, я решила рассказать всю историю, потому что у нас было очень много историй. Как я терялась в горах, как у нас бензин закончился, когда мы ехали из Австрии в Италию – посреди гор. Интересные истории! И это же воспоминания! И потом я буду перечитывать и вспоминать. Теперь это просто дань тому, что было в прошлом году. Тогда мне много друзей написали: «Давай еще!» А сейчас я это делаю просто потому, что я не успела в конце августа. Очень долго фотографии мне скидывали. У нас много было карт памяти. Конец путешествия на моей карте, а начало – у девочек. Сейчас я начала и стараюсь это делать последовательно. Когда у меня закончатся рассказы о путешествиях, тогда я вернусь в свою обычную струю и начну выкладывать фотографии с Питера. Я не хочу прерывать мой рассказ о путешествии. Ты считаешь себя блогером? Нет. Я не продумываю контент на месяц вперед. У меня нет такого, что я выбираю фотографии по цвету. Мне нравится фотография – я ее выложу. Даже если у меня до этого была фотография теплых тонов, а эта – холодных. Все равно я ее выложу, потому что интуитивно чувствую, что так лучше. Я читаю себя человеком, которому есть что рассказать. И рассказываю. Ты планируешь делать ставку на блог? Это ведь помогает в профессиональном плане. Многие лидеры мнений занимаются своими блогами. Это у меня уже работает. Я начала работать с молодежью, со студентами, с волонтерами. И у меня открыты страницы в социальных сетях. И когда проходят всякие волонтерства, я курирую ребят, мне даже проще с ними общаться, потому что они уже что-то знают обо мне. И у меня настраивается с ними контакт. Ставку, если я и буду делать, то когда уже будет время, когда закончу учиться. Сталкивалась с хейтом? Да, очень много. У меня и со школы такое было. И я не обращаю уже внимания. В институте нет уже такого активного хейта. Это проявляется во взаимоотношениях в группе, например. Есть те, кто поддерживает. Есть те, кто закатывает глаза, когда я рассказываю о своих идеях. К четвертому курсу уже все сгладилось, я не чувствовала негатива. Воспринимать такое всерьез и близко к сердцу я не собираюсь. Хейт – это то, что тебя двигает вперед. Если ты через это проходишь, то ты понимаешь, что ты что-то делаешь. Тебя ведь не любят не из-за того, что ты делаешь какие-то гадости, а из-за того, что ты идешь вперед, а они этого не делают.Легче сидеть на диване и говорить, какая плохая Соня, чем сделать что-то подобное. И последнее. Продолжи фразу «Молодость – это…» Это жизнь! Автор: Елена Каганова ",19,"1,11,41","220,139,151,123,98,153,52,50,60,169,155,55,96,100,120,151",7
